,item_id,amount,currency,Şəhər,Marka,Model,Buraxılış ili,Ban növü,Rəng,Mühərrik,Yürüş
1181,9500957,45000,USD,Bakı,Land Rover,Range Rover,2017,"Offroader / SUV, 5 qapı",Yaş Asfalt,3.0 L / 380 a.g. / Benzin,84 000 km
1182,9373681,24000,USD,Bakı,Mitsubishi,L200,2020,"Pikap, ikiqat kabin",Ağ,2.4 L / 181 a.g. / Dizel,94 000 km
1183,9442101,18700,AZN,Bakı,Hyundai,Sonata,2011,Sedan,Yaş Asfalt,2.0 L / 274 a.g. / Benzin,231 746 km
1184,9510774,21800,AZN,Bakı,Hyundai,Elantra,2017,Sedan,Qara,2.0 L / 150 a.g. / Benzin,160 000 km
1185,9517379,8500,AZN,Bakı,GAZ,33021,2000,Yük maşını,Boz,2.7 L / 150 a.g. / Dizel,200 000 km
1186,9303813,17650,USD,Bakı,Changan,Uni-Z,2025,"Offroader / SUV, 5 qapı",Yaş Asfalt,1.5 L / 215 a.g. / Plug-in Hibrid,0 km
1187,9481721,34800,AZN,Bakı,Hyundai,Santa Fe,2016,"Offroader / SUV, 5 qapı",Ağ,2.0 L / 184 a.g. / Dizel,192 000 km
1188,9365463,19500,AZN,Bakı,Ford,Transit,2009,Furqon,Ağ,2.2 L / 125 a.g. / Dizel,258 000 km
1189,8973564,76000,USD,Bakı,Land Rover,Range Rover,2020,"Offroader / SUV, 5 qapı",Ağ,2.0 L / 404 a.g. / Plug-in Hibrid,74 000 km
1190,9479292,17900,USD,Bakı,Changan,Qiyuan A07,2025,Liftbek,Bənövşəyi,258 a.g. / Elektro,0 km
1191,9516925,33333,AZN,Bakı,JETOUR,Dashing,2022,"Offroader / SUV, 5 qapı",Mavi,1.6 L / 190 a.g. / Benzin,31 000 km
1192,9397428,25500,USD,Bakı,BMW,X5,2017,"Offroader / SUV, 5 qapı",Göy,2.0 L / 313 a.g. / Plug-in Hibrid,180 000 km
1193,9511404,29000,AZN,Bakı,Chevrolet,Cobalt,2022,Sedan,Yaş Asfalt,1.5 L / 106 a.g. / Benzin,85 000 km
1194,9490527,12600,AZN,Sumqayıt,Toyota,Auris,2007,"Hetçbek, 5 qapı",Mavi,1.4 L / 90 a.g. / Dizel,222 000 km
1195,9344731,18900,USD,Bakı,Toyota,Levin,2024,Sedan,Ağ,1.8 L / 99 a.g. / Hibrid,0 km
1196,9488258,37900,USD,Bakı,Mercedes,E 250,2018,Sedan,Qara,2.0 L / 211 a.g. / Benzin,101 000 km
1197,9283922,34500,USD,Bakı,Mercedes,CLA 200,2020,Sedan,Ağ,2.0 L / 150 a.g. / Dizel,82 400 km
1198,9399729,62000,USD,Bakı,Land Rover,RR Sport,2019,"Offroader / SUV, 5 qapı",Yaş Asfalt,3.0 L / 340 a.g. / Benzin,21 000 km
1199,9366638,52500,USD,Bakı,Toyota,Land Cruiser,2017,"Offroader / SUV, 5 qapı",Ağ,4.0 L / 282 a.g. / Benzin,61 600 km
1200,9443177,32700,AZN,Bakı,Hyundai,Santa Fe,2016,"Offroader / SUV, 5 qapı",Ağ,2.0 L / 265 a.g. / Benzin,127 000 km
1201,9511902,17700,AZN,Xırdalan,Ford,Fusion (North America),2016,Sedan,Yaş Asfalt,1.5 L / 181 a.g. / Benzin,94 000 km
1202,9478280,38300,AZN,Bakı,Hyundai,Elantra,2024,Sedan,Qara,1.6 L / 128 a.g. / Benzin,11 200 km
1203,9478844,11000,AZN,Xaçmaz,Renault,Logan,2014,Sedan,Ağ,1.6 L / 102 a.g. / Benzin,142 006 km
1204,8888235,25500,USD,Bakı,Maserati,Quattroporte,2012,Sedan,Qara,4.7 L / 430 a.g. / Benzin,104 000 km
1205,9453106,20000,USD,Bakı,Mercedes,E 220 d,2015,Sedan,Ağ,2.2 L / 170 a.g. / Dizel,129 000 km
1206,9510296,8200,AZN,Ağcabədi,LADA (VAZ),Priora,2012,Sedan,Ağ,1.6 L / 98 a.g. / Benzin,250 000 km
1207,9500660,17700,AZN,Göyçay,Mercedes,E 280,2000,Sedan,Gümüşü,2.8 L / 204 a.g. / Benzin,260 000 km
1208,9409379,23200,AZN,Bakı,BYD,Destroyer 05,2025,Sedan,Ağ,1.5 L / 290 a.g. / Plug-in Hibrid,0 km
1209,9392158,29500,AZN,Bakı,Kia,Sorento,2012,"Offroader / SUV, 5 qapı",Qara,2.0 L / 184 a.g. / Dizel,88 000 km
1210,9510214,39500,USD,Bakı,Audi,RS7,2015,Liftbek,Yaş Asfalt,4.0 L / 605 a.g. / Benzin,95 000 km
1211,9484423,35499,USD,Bakı,Toyota,Camry,2025,Sedan,Qara,2.0 L / 197 a.g. / Hibrid,0 km
1212,9489761,27000,AZN,Bakı,Hyundai,Santa Fe,2015,"Offroader / SUV, 5 qapı",Ağ,2.0 L / 240 a.g. / Benzin,149 000 km
1213,9497907,26200,AZN,Bakı,Changan,Qiyuan A05,2025,Sedan,Yaş Asfalt,1.5 L / 190 a.g. / Plug-in Hibrid,0 km
1214,9444467,30900,AZN,Bakı,Hyundai,Tucson,2019,"Offroader / SUV, 5 qapı",Yaş Asfalt,2.0 L / 150 a.g. / Benzin,93 741 km
1215,9512566,172000,USD,Bakı,Land Rover,Range Rover,2025,"Offroader / SUV, 5 qapı",Qara,3.0 L / 400 a.g. / Benzin,0 km
1216,9434104,28500,AZN,Bakı,Honda,Insight,2020,Sedan,Ağ,1.5 L / 109 a.g. / Benzin,94 000 km
1217,9461641,27400,AZN,Bakı,BMW,328,2016,Sedan,Boz,2.0 L / 245 a.g. / Benzin,124 000 km
1218,9508772,25000,AZN,Bakı,Kia,Sportage,2012,"Offroader / SUV, 5 qapı",Yaş Asfalt,2.0 L / 136 a.g. / Dizel,161 000 km
1219,9517299,6000,AZN,Bakı,Volkswagen,Bora,2000,Sedan,Gümüşü,1.6 L / 100 a.g. / Benzin,218 000 km
1220,9479629,31500,USD,Bakı,Changan,Deepal S09,2025,"Offroader / SUV, 5 qapı",Göy,1.5 L / 318 a.g. / Plug-in Hibrid,0 km
1221,9515074,1500,AZN,Bakı,LADA (VAZ),21011,1973,Sedan,Tünd qırmızı,1.2 L / 58 a.g. / Benzin,73 669 km
1222,8927681,2200,AZN,Qusar,Chery,Amulet (A15),2008,Liftbek,Gümüşü,1.6 L / 94 a.g. / Benzin,265 000 km
1223,9468630,22900,AZN,Sumqayıt,Lexus,GX 470,2004,"Offroader / SUV, 5 qapı",Yaş Asfalt,4.7 L / 270 a.g. / Benzin,178 450 km
1224,9517158,14900,AZN,Bakı,LADA (VAZ),Niva,2019,"Offroader / SUV, 3 qapı",Göy,1.7 L / 83 a.g. / Benzin,110 000 km
1225,9180192,48000,USD,Bakı,Lexus,ES 300h,2024,Sedan,Qara,2.5 L / 218 a.g. / Hibrid,0 km
1226,9517165,17900,AZN,Bakı,Hyundai,Elantra,2015,Sedan,Ağ,1.8 L / 150 a.g. / Benzin,255 886 km
1227,9087165,39900,AZN,Bakı,Chery,Tiggo 7 Pro,2024,"Offroader / SUV, 5 qapı",Mavi,1.5 L / 172 a.g. / Hibrid,0 km
1228,9516960,59900,USD,Bakı,BMW,X5 M,2019,"Offroader / SUV, 5 qapı",Yaş Asfalt,4.4 L / 600 a.g. / Benzin,129 000 km
1229,9516791,4600,AZN,Bakı,Tofas,Sahin,2004,Sedan,Qara,1.6 L / 92 a.g. / Benzin,34 600 km
1230,9403962,32700,AZN,Bakı,Hyundai,Santa Fe,2016,"Offroader / SUV, 5 qapı",Ağ,2.0 L / 184 a.g. / Dizel,168 700 km
1231,9502664,50500,USD,Bakı,Toyota,Land Cruiser Prado,2022,"Offroader / SUV, 5 qapı",Qara,2.7 L / 163 a.g. / Benzin,70 610 km
1232,9279261,30800,AZN,Bakı,Porsche,Cayenne GTS,2009,"Offroader / SUV, 5 qapı",Qara,4.8 L / 405 a.g. / Benzin,146 063 km
1233,9504550,14500,AZN,Bakı,Opel,Astra,2010,"Hetçbek, 5 qapı",Göy,1.7 L / 125 a.g. / Dizel,280 000 km
1234,9327630,13500,AZN,Bakı,BMW,320,1999,Sedan,Göy,2.5 L / 170 a.g. / Benzin,368 000 km
1235,9511668,18200,AZN,Bakı,Hyundai,Accent,2016,Sedan,Yaş Asfalt,1.4 L / 108 a.g. / Benzin,168 600 km
1236,9473756,10900,AZN,Bakı,BMW,325,1999,Sedan,Gümüşü,2.5 L / 143 a.g. / Benzin,337 000 km
1237,9430154,20300,AZN,Bakı,Kia,K3,2014,Sedan,Ağ,1.6 L / 128 a.g. / Dizel,214 000 km
1238,9517281,2800,AZN,Gəncə,LADA (VAZ),2106,1985,Sedan,Ağ,1.5 L / 72 a.g. / Benzin,93 456 km
1239,9517014,3500,AZN,Xaçmaz,LADA (VAZ),2108,1993,"Hetçbek, 3 qapı",Qara,1.5 L / 70 a.g. / Benzin,493 000 km
1240,9503789,21000,USD,Bakı,Kia,Sorento,2016,"Offroader / SUV, 5 qapı",Yaş Asfalt,2.0 L / 184 a.g. / Dizel,152 000 km
1241,9468614,25500,AZN,Sumqayıt,Mercedes,ML 320 4MATIC,2008,"Offroader / SUV, 5 qapı",Yaş Asfalt,3.0 L / 218 a.g. / Dizel,182 460 km
1242,9492148,22900,AZN,Bakı,Mitsubishi,L200,2011,"Pikap, ikiqat kabin",Ağ,2.5 L / 136 a.g. / Dizel,245 350 km
1243,9516686,11500,AZN,Bakı,Mercedes,ML 320 4MATIC,2002,"Offroader / SUV, 5 qapı",Qara,3.2 L / 218 a.g. / Benzin,272 000 km
1244,9517133,6500,AZN,Bakı,Hyundai,Grandeur,2008,Sedan,Ağ,2.7 L / 192 a.g. / Benzin,260 000 km
1245,9475273,32000,USD,Bakı,Mercedes,E 300 d,2019,Sedan,Yaş Asfalt,2.0 L / 245 a.g. / Dizel,71 000 km
1246,9489677,45500,AZN,Bakı,Lexus,ES 200,2017,Sedan,Qara,2.0 L / 150 a.g. / Benzin,156 300 km
1247,9426323,12800,AZN,Xırdalan,Hyundai,i30,2008,"Hetçbek, 5 qapı",Ağ,1.6 L / 115 a.g. / Dizel,256 987 km
1248,9437952,125000,USD,Bakı,Lexus,LX 500d,2022,"Hetçbek, 5 qapı",Qara,3.3 L / 300 a.g. / Dizel,64 500 km
1249,9299538,19900,USD,Bakı,Toyota,Corolla,2024,Sedan,Ağ,1.8 L / 98 a.g. / Hibrid,0 km
1250,9429901,3400,AZN,Ağdaş,LADA (VAZ),2106,2004,Sedan,Göy,1.6 L / 75 a.g. / Benzin,55 555 km
1251,9256751,21500,AZN,Bakı,Hyundai,Elantra,2017,Sedan,Göy,2.0 L / 150 a.g. / Benzin,132 600 km
1252,9473869,38700,AZN,Bakı,AODES,Desertcross 1000-3 HVAC,2025,Kvadrosikl,Bej,1000 sm3/ 87 a.g. / Benzin,0 km
1253,9481966,32000,AZN,Sumqayıt,Kia,Sorento,2016,"Offroader / SUV, 5 qapı",Yaş Asfalt,2.0 L / 184 a.g. / Dizel,212 000 km
1254,9513043,10900,AZN,Sumqayıt,BMW,320,2005,Sedan,Göy,2.0 L / 150 a.g. / Benzin,322 000 km
1255,9171818,3400,AZN,Bakı,Daewoo,Lanos,2011,Furqon,Ağ,1.5 L / 86 a.g. / Benzin,198 635 km
1256,8789611,23000,AZN,Bakı,JAC,JS3,2025,"Offroader / SUV, 5 qapı",Qara,1.6 L / 118 a.g. / Benzin,0 km
1257,9502967,22500,AZN,Bakı,Mitsubishi,Pajero,2007,"Offroader / SUV, 5 qapı",Ağ,3.0 L / 178 a.g. / Benzin,202 000 km
1258,9490552,34500,USD,Bakı,Mitsubishi,Pajero Sport,2022,"Offroader / SUV, 5 qapı",Qara,2.4 L / 181 a.g. / Dizel,59 109 km
1259,9199976,20000,AZN,Masallı,Chevrolet,Malibu,2018,Sedan,Boz,1.5 L / 160 a.g. / Benzin,118 000 km
