,amount,city,marka,model,year,type,color,distance,motor_volume,horse_power,motor_type,is_outlier
2313,6450.0,Bakı,LADA (VAZ),2115,2012,Sedan,Qara,318850,1.5,78,Benzin,False
2314,5700.0,Bakı,CFMOTO,300 NK,2022,Motosiklet,Qara,18000,0.0,30,Benzin,False
2315,73100.0,Bakı,Mercedes,CLS 350,2015,Sedan,Ağ,110000,3.0,249,Dizel,False
2316,63750.0,Bakı,Toyota,Land Cruiser,2012,"Offroader / SUV, 5 qapı",Ağ,166000,4.6,309,Benzin,False
2317,55900.0,Bakı,Suzuki,Jimny,2024,"Offroader / SUV, 3 qapı",Ağ,0,1.5,101,Benzin,False
2318,21900.0,Bakı,Toyota,Prius V,2012,"Universal, 5 qapı",Gümüşü,128000,1.8,99,Hibrid,False
2319,22431.0,Bakı,Nissan,Note,2015,"Hetçbek, 5 qapı",Göy,12500,1.2,79,Benzin,False
2320,30300.0,Bakı,Kia,K5,2015,Sedan,Ağ,137000,2.0,172,Benzin,False
2321,64940.0,Bakı,Toyota,Camry,2025,Sedan,Ağ,0,2.0,197,Hibrid,False
2322,11900.0,Bakı,Hyundai,Grandeur,2007,Sedan,Qara,325000,2.7,192,Benzin,False
2323,17500.0,Bakı,Mercedes,C 180,2007,Sedan,Qara,189000,1.8,156,Benzin,False
2324,81770.0,Bakı,Li Auto,L7,2024,"Offroader / SUV, 5 qapı",Boz,0,1.5,449,Plug-in Hibrid,True
2325,33998.299999999996,Bakı,Toyota,Corolla Cross,2025,"Offroader / SUV, 5 qapı",Ağ,0,2.0,197,Hibrid,False
2326,60690.0,Bakı,Lexus,ES 300h,2020,Sedan,Ağ,56000,2.5,218,Hibrid,False
2327,19800.0,Xırdalan,Toyota,Land Cruiser Prado,2005,"Offroader / SUV, 5 qapı",Gümüşü,294853,2.7,163,Benzin,False
2328,11900.0,Balakən,Opel,Astra,2009,"Hetçbek, 5 qapı",Yaş Asfalt,275411,1.4,90,Benzin,False
2329,29000.0,Bakı,Chevrolet,Cobalt,2024,Sedan,Ağ,10000,1.5,106,Benzin,False
2330,29500.0,Bakı,Hyundai,Grandeur,2014,Sedan,Qara,230000,2.2,202,Dizel,False
2331,62730.0,Bakı,Lexus,ES 300h,2021,Sedan,Boz,55000,2.5,218,Hibrid,False
2332,23500.0,Bakı,Nissan,Kicks,2019,"Offroader / SUV, 5 qapı",Qırmızı,82000,1.6,125,Benzin,False
2333,9700.0,Bakı,Mercedes,C 230,1999,Sedan,Gümüşü,365890,2.3,193,Benzin,False
2334,2300.0,Bakı,LADA (VAZ),2106,1984,Sedan,Yaşıl,21100,1.6,75,Benzin,False
